Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Growth Rate,Entity_x,Year_x,Old-age dependency ratio,Entity_y,Year_y,Health expenditure per capita - Total,Entity,Year,life expectancy
Denmark,DNK,485596,497500,509606,521124,532444,543361,553997,565535,578254,591502,606495,621409,635250,649884,664521,678125,690694,704466,718611,730282,739026,745716,752168,758774,764491,772506,783417,791246,796023,800107,802711,804196,804650,803061,800236,798060,796467,794640,793111,792031,792314,794258,797287,801773,808188,816825,827276,842556,864400,890188,919585,952106,984579,1013550,1039547,1065638,1090575,1112661,1132945,1151405,1169017,1187085,1209352,1232155,1.421641636,Denmark,2023,32.39204,Denmark,2022,5052.088,Denmark,2021,81.3753
Spain,ESP,2494336,2573567,2639548,2684934,2728990,2808626,2902417,2990221,3086485,3169509,3266221,3363612,3451871,3543627,3615071,3694536,3792127,3888811,3987683,4085588,4184896,4273727,4356239,4436926,4519371,4617875,4737206,4876069,5021587,5166523,5309896,5451430,5594303,5740079,5890018,6046956,6203154,6358235,6514121,6652161,6781703,6934884,7075364,7155615,7190189,7274334,7387393,7473040,7592980,7738680,7893748,8044838,8181510,8337877,8503113,8632527,8750078,8884124,9028327,9184044,9318013,9437109,9682299,10030589,2.218992295,Spain,2023,31.20693,Spain,2022,3632.969,Spain,2021,83.01
Estonia,EST,127652,130043,132325,135017,138761,142849,146385,149741,153581,156992,160120,163779,167572,170721,173712,176583,178847,181216,183114,184309,184598,183076,180343,178395,176966,175061,174800,176178,177956,180283,182540,184784,187337,189717,191770,194109,197053,200319,202458,205438,209313,212029,215630,219467,223095,226370,229869,232759,233130,232621,232245,233272,236282,239863,244011,248474,252443,256486,260166,264082,268313,271129,277581,285604,1.201676789,Estonia,2023,33.10512,Estonia,2022,2549.787,Estonia,2021,77.1436
Finland,FIN,324019,332058,338831,347155,357741,367362,377075,387814,397880,409183,421863,434923,450140,466481,483204,500173,516363,532639,547705,560914,572432,581435,590524,599724,605092,612008,623600,634396,645207,656464,667489,678999,690154,700872,713112,726250,737956,747960,755744,763057,772231,782328,793010,805905,822091,836082,854977,872000,883660,901257,925729,960309,998881,1037351,1073980,1107265,1136545,1164653,1192086,1218055,1243599,1268422,1293168,1318873,2.228229779,Finland,2023,38.313972,Finland,2022,4644.606,Finland,2021,82.0381
France,FRA,5443513,5539034,5651841,5747842,5865314,6000566,6144632,6299674,6439710,6561784,6685424,6812805,6932763,7049647,7165147,7275980,7369141,7470803,7584978,7686875,7698716,7584826,7446725,7334855,7263563,7330570,7507626,7681377,7851022,8015826,8182187,8390545,8567609,8738775,8907803,9083006,9254056,9415342,9559110,9697928,9841925,9979617,10110486,10225450,10352607,10474002,10556031,10645333,10767544,10903043,11043674,11283621,11629845,11995907,12366153,12714090,13029325,13335680,13640015,13933362,14196384,14449555,14721512,14997425,1.591890665,France,2023,35.311802,France,2022,5248.809,France,2021,82.4988
United Kingdom,GBR,6143536,6228058,6312327,6391184,6488996,6615395,6737874,6869798,7000216,7121227,7251139,7390879,7525773,7651307,7772459,7890281,7997707,8104399,8218734,8323853,8409399,8454479,8444625,8409345,8433772,8547327,8683418,8796380,8880030,8940499,8996830,9050014,9090613,9114589,9139764,9170189,9193465,9212097,9223088,9232359,9257268,9302522,9358045,9417734,9489053,9565917,9641851,9744896,9887287,10062157,10257870,10499466,10798980,11094552,11357917,11589815,11793001,11985373,12176955,12385241,12559292,12678760,12995456,13299719,1.211318088,United Kingdom,2023,30.326279,United Kingdom,2022,4551.586,United Kingdom,2021,80.7422
Greece,GRC,675021,698982,726019,753890,783043,814628,850843,887282,920596,950831,980265,1011230,1042172,1069308,1094838,1125366,1161369,1192671,1221973,1247975,1265718,1278563,1286885,1295058,1302959,1311415,1322601,1336921,1356116,1382545,1420382,1464004,1503922,1544357,1584902,1624304,1663842,1705925,1748925,1787617,1826189,1868221,1909363,1947565,1983759,2017779,2044562,2061063,2078818,2106101,2140983,2177832,2203478,2219244,2235391,2251234,2273553,2298550,2320303,2345934,2373101,2378932,2379620,2398547,1.879314824,Greece,2023,37.26443,Greece,2022,2524.784,Greece,2021,80.1106
Hungary,HUN,901580,928683,955594,984392,1017714,1050415,1083628,1117113,1146299,1171147,1193821,1216886,1244694,1275461,1307703,1339111,1366277,1393683,1418051,1437092,1435975,1404985,1363823,1321145,1302077,1313402,1332255,1354204,1377231,1382298,1386700,1406996,1422604,1436090,1451126,1468717,1484292,1497389,1511717,1522504,1531882,1540479,1546789,1553296,1561499,1572576,1585707,1602067,1619606,1639943,1656129,1670868,1690081,1717854,1749021,1781219,1813095,1840694,1871390,1916373,1959532,1982748,1929641,1893634,1.021235254,Hungary,2023,32.160297,Hungary,2022,2393.19,Hungary,2021,74.5301
Ireland,IRL,319910,320970,320850,320187,320830,325791,330061,330531,330449,330393,332268,335792,338021,339225,341490,346481,352962,358410,362662,366742,370954,375159,377714,378941,382891,387076,390537,394969,399008,401955,404275,406656,409077,410674,411952,413436,414837,417096,419692,421651,424966,430630,436502,442303,449822,456290,461185,469756,482994,499086,517416,537592,558653,580552,599411,616706,636462,656472,678617,702786,725091,746371,776058,814856,1.593170411,Ireland,2023,23.725014,Ireland,2022,5353.01,Ireland,2021,81.9976
Iceland,ISL,14127,14607,15067,15507,15855,16183,16500,16791,17162,17566,17952,18325,18688,19060,19481,19941,20442,20963,21500,22028,22482,22843,23231,23670,24067,24501,25077,25650,26132,26594,27086,27621,28187,28759,29361,30028,30636,31190,31679,32077,32512,33022,33519,33928,34327,34776,35297,35981,36764,37599,38598,39723,40969,42331,43770,45283,46732,48190,49840,51589,53400,55601,58542,61947,2.341329835,Iceland,2023,23.02852,Iceland,2022,4377.779,Iceland,2021,82.6782
