Entity,Code,Year,life expectancy
Saint Lucia,LCA,2021,71.1114
Saint Martin (French part),MAF,2021,80.3788
Saint Pierre and Miquelon,SPM,2021,77.1925
Saint Vincent and the Grenadines,VCT,2021,69.6291
Samoa,WSM,2021,72.7675
San Marino,SMR,2021,80.8786
Sao Tome and Principe,STP,2021,67.5912
Saudi Arabia,SAU,2021,76.936
Senegal,SEN,2021,67.0926
Serbia,SRB,2021,74.1923
Seychelles,SYC,2021,71.2945
Sierra Leone,SLE,2021,60.0624
Singapore,SGP,2021,82.7545
Sint Maarten (Dutch part),SXM,2021,73.9724
Slovakia,SVK,2021,74.9101
Slovenia,SVN,2021,80.6904
Solomon Islands,SLB,2021,70.3477
Somalia,SOM,2021,55.2803
South Africa,ZAF,2021,62.341
South Korea,KOR,2021,83.6978
South Sudan,SSD,2021,54.9752
Spain,ESP,2021,83.01
Sri Lanka,LKA,2021,76.3991
Sudan,SDN,2021,65.2667
Suriname,SUR,2021,70.2743
Sweden,SWE,2021,82.9833
Switzerland,CHE,2021,83.9872
Syria,SYR,2021,72.0627
Taiwan,TWN,2021,81.0073
Tajikistan,TJK,2021,71.5942
Tanzania,TZA,2021,66.2007
Thailand,THA,2021,78.7154
Togo,TGO,2021,61.6194
Tokelau,TKL,2021,75.2279
Tonga,TON,2021,70.9857
Trinidad and Tobago,TTO,2021,72.9709
Tunisia,TUN,2021,73.7719
Turkey,TUR,2021,76.0324
Turkmenistan,TKM,2021,69.2644
Turks and Caicos Islands,TCA,2021,74.5874
Tuvalu,TUV,2021,64.5466
Uganda,UGA,2021,62.7048
Ukraine,UKR,2021,71.624
United Arab Emirates,ARE,2021,78.7104
United Kingdom,GBR,2021,80.7422
United States,USA,2021,77.1982
United States Virgin Islands,VIR,2021,74.7241
Uruguay,URY,2021,75.4356
Uzbekistan,UZB,2021,70.8616
Vanuatu,VUT,2021,70.449
Venezuela,VEN,2021,70.5536
Vietnam,VNM,2021,73.6181
Wallis and Futuna,WLF,2021,78.4396
Western Sahara,ESH,2021,70.7804
Yemen,YEM,2021,63.7534
Zambia,ZMB,2021,61.2234
Zimbabwe,ZWE,2021,59.2531
